name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
belgrade,2023-08-01,31,15.7,24.4,29.9,15.7,24.1,14,55.7,0,0,0,,0,0,57.6,16,145.2,1008.1,22.8,17.3,,,,,2023-08-01T05:23:32,2023-08-01T20:04:52,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
belgrade,2023-08-02,27.3,17.7,21.9,27.3,17.7,21.9,15.5,68.4,0.298,100,4.17,rain,0,0,32,25.6,220.3,1009.4,47.4,17.1,,,,,2023-08-02T05:24:40,2023-08-02T20:03:36,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYVR,LYBT"
belgrade,2023-08-03,34.8,19.9,27.4,35,19.9,27.7,17,55.9,0,0,0,,0,0,39.6,13.6,135.4,1008.1,8.4,18.9,,,,,2023-08-03T05:25:48,2023-08-03T20:02:19,0.56,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYVR,LYBT"
belgrade,2023-08-04,35.5,21.5,29.4,38.6,21.5,31.1,19.5,56.7,0,0,0,,0,0,50.4,12,72.1,1007.6,23.2,16.5,,,,,2023-08-04T05:26:56,2023-08-04T20:01:00,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
belgrade,2023-08-05,29.3,18,22.4,31.5,18,22.6,19.4,84,29.712,100,4.17,rain,0,0,72,21.3,230,1005.1,66.8,12.6,,,,,2023-08-05T05:28:05,2023-08-05T19:59:39,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
belgrade,2023-08-06,24.1,16.9,19.2,24.1,16.9,19.2,16.7,86,21.991,100,8.33,rain,0,0,42.5,22.6,254.5,1004.8,70.3,13.2,,,,,2023-08-06T05:29:13,2023-08-06T19:58:17,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
belgrade,2023-08-07,24.6,14,18.5,24.6,14,18.5,13.5,75.1,14.834,100,4.17,rain,0,0,42.8,18.8,200.9,1011.9,49.1,15.3,,,,,2023-08-07T05:30:23,2023-08-07T19:56:54,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYVR,LYBT"
belgrade,2023-08-08,23.3,14.7,18.7,23.3,14.7,18.7,10.5,60.6,0,0,0,,0,0,31.7,16.8,311.2,1019,52.6,19.7,,,,,2023-08-08T05:31:32,2023-08-08T19:55:29,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
belgrade,2023-08-09,25,13.4,19.8,25,13.4,19.8,12.5,64.9,0,0,0,,0,0,24.8,13.6,74.6,1017.7,50.3,18.1,,,,,2023-08-09T05:32:42,2023-08-09T19:54:03,0.76,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
belgrade,2023-08-10,24.3,17,19.8,24.3,17,19.8,14.4,71.7,0.095,100,12.5,rain,0,0,23.8,20.6,354.2,1019,51.6,15.7,,,,,2023-08-10T05:33:52,2023-08-10T19:52:35,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,13173099999,LYBE,13272599999,13183099999,13180099999,13279099999,13274099999,LYVR,LYBT"
